

bullet_small_normal,flesh_body_nonfatal,impacts/fx_flesh_hit_body_nonfatal_mp
bullet_small_normal,flesh_body_fatal,impacts/fx_flesh_hit_body_nonfatal_mp
bullet_small_normal,flesh_head_nonfatal,impacts/fx_flesh_hit_body_nonfatal_mp
bullet_small_normal,flesh_head_fatal,impacts/fx_flesh_hit_body_nonfatal_mp
bullet_small_normal,ice,impacts/fx_small_snowhit
bullet_small_normal,snow,impacts/fx_small_snowhit

bullet_small_exit,flesh_body_fatal,impacts/fx_flesh_hit_body_fatal_exit_mp
bullet_small_exit,flesh_head_fatal,impacts/fx_flesh_hit
bullet_small_exit,ice,impacts/fx_small_snowhit
bullet_small_exit,snow,impacts/fx_small_snowhit

bullet_small_underwater,ice,impacts/fx_default_hit
bullet_small_underwater,snow,impacts/fx_default_hit

bullet_large_normal,flesh_body_nonfatal,impacts/fx_flesh_hit_body_nonfatal_mp
bullet_large_normal,flesh_body_fatal,impacts/fx_flesh_hit_body_nonfatal_mp
bullet_large_normal,flesh_head_nonfatal,impacts/fx_flesh_hit_body_nonfatal_mp
bullet_large_normal,flesh_head_fatal,impacts/fx_flesh_hit_body_nonfatal_mp
bullet_large_normal,ice,impacts/fx_small_snowhit
bullet_large_normal,snow,impacts/fx_small_snowhit

bullet_large_exit,flesh_body_fatal,impacts/fx_flesh_hit_body_fatal_exit_mp
bullet_large_exit,flesh_head_fatal,impacts/fx_flesh_hit
bullet_large_exit,ice,impacts/fx_small_snowhit
bullet_large_exit,snow,impacts/fx_small_snowhit

bullet_ap_normal,flesh_body_nonfatal,impacts/fx_flesh_hit_body_nonfatal_mp
bullet_ap_normal,flesh_body_fatal,impacts/fx_flesh_hit_body_nonfatal_mp
bullet_ap_normal,flesh_head_nonfatal,impacts/fx_flesh_hit_body_nonfatal_mp
bullet_ap_normal,flesh_head_fatal,impacts/fx_flesh_hit_body_nonfatal_mp
bullet_ap_normal,ice,impacts/fx_small_snowhit
bullet_ap_normal,snow,impacts/fx_small_snowhit

bullet_ap_exit,flesh_body_fatal,impacts/fx_flesh_hit_body_fatal_lg_exit_mp
bullet_ap_exit,flesh_head_fatal,impacts/fx_flesh_hit
bullet_ap_exit,ice,impacts/fx_small_snowhit
bullet_ap_exit,snow,impacts/fx_small_snowhit

bullet_xtreme_normal,ice,impacts/fx_small_snowhit
bullet_xtreme_normal,snow,impacts/fx_small_snowhit

bullet_xtreme_exit,ice,impacts/fx_small_snowhit
bullet_xtreme_exit,snow,impacts/fx_small_snowhit

shotgun_normal,flesh_body_nonfatal,impacts/fx_flesh_hit_body_nonfatal_mp
shotgun_normal,flesh_body_fatal,impacts/fx_flesh_hit_body_nonfatal_mp
shotgun_normal,flesh_head_nonfatal,impacts/fx_flesh_hit_body_nonfatal_mp
shotgun_normal,flesh_head_fatal,impacts/fx_flesh_hit_body_nonfatal_mp
shotgun_normal,ice,impacts/fx_small_snowhit
