# This file maps impact types to effects overriding the defaults

rocket_explode,water,maps/river/fx_river_splash_mortar
rocket_explode_xtreme,water,maps/river/fx_river_splash_mortar
mortar_shell,water,maps/river/fx_river_splash_mortar
tank_shell,water,maps/river/fx_river_splash_mortar
grenade_explode,water,maps/river/fx_river_splash_mortar
projectile_dud,water,maps/river/fx_river_splash_explo


rocket_explode,default,explosions/fx_default_explosion_river
rocket_explode,ceramic,explosions/fx_default_explosion_river
rocket_explode,plastic,explosions/fx_default_explosion_river
rocket_explode,rubber,explosions/fx_default_explosion_river
rocket_explode,cushion,explosions/fx_default_explosion_river
rocket_explode,fruit,explosions/fx_default_explosion_river


